County Code,County Name
01,ADAMS
02,ALAMOSA
03,ARAPAHOE
04,ARCHULETA
05,BACA
06,BENT
07,BOULDER
08,CHAFFEE
09,CHEYENNE
10,CLEAR CREEK
11,CONEJOS
12,COSTILLA
13,CROWLEY
14,CUSTER
15,DELTA
16,DENVER
17,DOLORES
18,DOUGLAS
19,EAGLE
20,ELBERT
21,EL PASO
22,FREMONT
23,GARFIELD
24,GILPIN
25,GRAND
26,GUNNISON
27,HINSDALE
28,HUERFANO
29,JACKSON
30,JEFFERSON
31,KIOWA
32,KIT CARSON
33,LAKE
34,LA PLATA
35,LARIMER
36,LAS ANIMAS
37,LINCOLN
38,LOGAN
39,MESA
40,MINERAL
41,MOFFAT
42,MONTEZUMA
43,MONTROSE
44,MORGAN
45,OTERO
46,OURAY
47,PARK
48,PHILLIPS
49,PITKIN
50,PROWERS
51,PUEBLO
52,RIO BLANCO
53,RIO GRANDE
54,ROUTT
55,SAGUACHE
56,SAN JUAN
57,SAN MIGUEL
58,SEDGWICK
59,SUMMIT
60,TELLER
61,WASHINGTON
62,WELD
63,YUMA
64,BROOMFIELD
,
,
,
