County,CasesPer100K,CaseCounts,Population,Age_Group
CROWLEY,37180.76,2242,6030,ALL
BENT,27260.18,1580,5796,ALL
LINCOLN,20449.36,1165,5697,ALL
LOGAN,19642.21,4304,21912,ALL
PITKIN,16432.03,2918,17758,ALL
FREMONT,14837.67,7070,47649,ALL
SUMMIT,14231.32,4410,30988,ALL
EAGLE,13873,7640,55071,ALL
MINERAL,13743.46,105,764,ALL
ADAMS,13251.89,68629,517881,ALL
SAN MIGUEL,13113.15,1072,8175,ALL
MESA,13101.96,20299,154931,ALL
PUEBLO,12870.22,21636,168109,ALL
RIO BLANCO,12708.23,801,6303,ALL
ALAMOSA,12361.7,2000,16179,ALL
OTERO,12317.45,2252,18283,ALL
WELD,12268.27,39720,323762,ALL
EL PASO,12030.89,86922,722490,ALL
SEDGWICK,11928.25,266,2230,ALL
SAN JUAN,11748.63,86,732,ALL
PROWERS,11690.45,1417,12121,ALL
GARFIELD,11623.81,6993,60161,ALL
LAKE,11606.04,938,8082,ALL
DENVER,11399.17,83127,729237,ALL
KIT CARSON,11346.42,809,7130,ALL
ROUTT,11328.99,2906,25651,ALL
GRAND,11323.16,1780,15720,ALL
MOFFAT,11196.62,1484,13254,ALL
ARAPAHOE,10888.63,71519,656823,ALL
LAS ANIMAS,10810.62,1567,14495,ALL
DELTA,10700.54,3336,31176,ALL
WASHINGTON,10645.03,505,4744,ALL
MORGAN,10455.13,3030,28981,ALL
BACA,10418.42,371,3561,ALL
PHILLIPS,10397.2,445,4280,ALL
MONTROSE,10387.24,4442,42764,ALL
YUMA,10304.05,1037,10064,ALL
DOUGLAS,10150.88,35683,351526,ALL
CONEJOS,10020.83,818,8163,ALL
CHAFFEE,9870.36,2010,20364,ALL
RIO GRANDE,9814.91,1103,11238,ALL
JEFFERSON,9548.4,55675,583082,ALL
GUNNISON,9471.28,1657,17495,ALL
MONTEZUMA,9396.02,2458,26160,ALL
LARIMER,9347.33,33364,356936,ALL
ARCHULETA,9322.09,1305,13999,ALL
TELLER,8782.24,2227,25358,ALL
LA PLATA,8662.97,4875,56274,ALL
ELBERT,8436.4,2251,26682,ALL
BOULDER,8406.49,27503,327164,ALL
BROOMFIELD,8313.67,5883,70763,ALL
KIOWA,8111.99,113,1393,ALL
CHEYENNE,8100.71,148,1827,ALL
HUERFANO,7732.71,530,6854,ALL
DOLORES,7722.58,157,2033,ALL
COSTILLA,7674.42,297,3870,ALL
SAGUACHE,7663,523,6825,ALL
OURAY,7456.94,368,4935,ALL
CLEAR CREEK,6664.61,649,9738,ALL
HINSDALE,6364.75,52,817,ALL
PARK,5785.26,1090,18841,ALL
GILPIN,5776.35,359,6215,ALL
CUSTER,5416.09,274,5059,ALL
JACKSON,5346.82,74,1384,ALL
